Time,Current
19:23:08,653.0
19:23:09,627.5
19:23:10,591.1
19:23:11,574.3
19:23:12,586.7
19:23:13,551.5
19:23:14,761.4
19:23:15,553.8
19:23:16,561.0
19:23:17,457.2
19:23:18,498.3
19:23:19,546.6
19:23:20,486.8
19:23:21,429.3
19:23:22,436.1
19:23:23,501.5
19:23:24,542.3
19:23:25,442.2
19:23:26,495.4
19:23:27,511.9
19:23:28,577.2
19:23:29,454.6
19:23:30,486.1
19:23:31,477.1
19:23:32,482.2
19:23:33,491.9
19:23:34,588.6
19:23:35,572.7
19:23:36,523.5
19:23:37,533.0
19:23:38,753.7
19:23:39,634.9
19:23:40,774.6
19:23:41,665.5
19:23:42,729.4
19:23:43,673.8
19:23:44,664.3
19:23:45,519.9
19:23:46,507.8
19:23:47,683.0
19:23:48,622.7
19:23:49,537.6
19:23:50,532.6
19:23:51,526.2
19:23:52,594.6
19:23:53,520.3
19:23:54,536.1
19:23:55,540.3
19:23:56,545.4
19:23:57,513.5
19:23:58,507.3
19:23:59,462.7
19:24:00,596.4
19:24:01,552.0
19:24:02,475.3
19:24:03,439.5
19:24:04,451.9
19:24:05,551.7
19:24:06,446.7
19:24:07,459.8
19:24:08,514.2
19:24:09,513.2
19:24:10,440.9
19:24:11,437.4
19:24:12,489.6
19:24:13,486.6
19:24:14,440.5
19:24:15,449.2
19:24:16,506.6
19:24:17,507.6
19:24:18,457.4
19:24:19,468.7
19:24:20,520.4
19:24:21,483.2
19:24:22,436.9
19:24:23,445.0
19:24:24,491.9
19:24:25,490.5
19:24:26,453.2
19:24:27,453.0
19:24:28,518.7
19:24:29,511.3
19:24:30,457.0
19:24:31,465.7
19:24:32,486.8
19:24:33,484.2
19:24:34,427.8
19:24:35,444.9
19:24:36,517.7
19:24:37,493.6
19:24:38,448.5
19:24:39,468.7
19:24:40,514.4
19:24:41,510.6
19:24:42,459.6
19:24:43,457.9
19:24:44,508.1
19:24:45,495.5
19:24:46,434.4
19:24:47,448.8
19:24:48,496.0
19:24:49,448.9
19:24:50,439.1
19:24:51,503.0
19:24:52,535.2
19:24:53,456.9
19:24:54,684.1
19:24:55,509.1
19:24:56,499.8
19:24:57,437.0
19:24:58,467.3
19:24:59,586.8
19:25:00,550.4
19:25:01,498.2
19:25:02,539.2
19:25:03,539.1
19:25:04,775.6
19:25:05,740.2
19:25:06,722.9
19:25:07,680.6
19:25:08,642.8
19:25:09,696.7
19:25:10,636.9
19:25:11,538.9
19:25:12,626.3
19:25:13,540.7
19:25:14,627.5
19:25:15,625.8
19:25:16,645.5
19:25:17,691.5
19:25:18,618.3
19:25:19,624.9
19:25:20,599.5
19:25:21,615.9
19:25:22,492.1
19:25:23,513.7
19:25:24,685.8
19:25:25,581.8
19:25:26,587.8
19:25:27,506.5
19:25:28,498.5
19:25:29,436.7
19:25:30,489.4
19:25:31,521.4
19:25:32,449.0
19:25:33,451.2
19:25:34,527.3
19:25:35,490.9
19:25:36,441.1
19:25:37,466.6
19:25:38,513.0
19:25:39,511.2
19:25:40,442.1
19:25:41,449.2
19:25:42,565.9
19:25:43,487.8
19:25:44,478.5
19:25:45,454.3
19:25:46,502.7
19:25:47,440.1
19:25:48,503.1
19:25:49,568.3
19:25:50,519.9
19:25:51,458.3
19:25:52,523.8
19:25:53,553.6
19:25:54,439.5
19:25:55,438.5
19:25:56,546.0
19:25:57,610.6
19:25:58,445.6
19:25:59,445.3
19:26:00,505.1
19:26:01,494.5
19:26:02,501.0
19:26:03,465.3
19:26:04,510.1
19:26:05,556.0
19:26:06,588.0
19:26:07,508.1
19:26:08,603.5
19:26:09,524.3
19:26:10,598.4
19:26:11,625.7
19:26:12,705.0
19:26:13,638.2
19:26:14,609.2
19:26:15,652.2
19:26:16,633.3
19:26:17,504.5
19:26:18,692.5
19:26:19,674.7
19:26:20,690.7
19:26:21,651.6
19:26:22,596.2
